"N° ";"Désignation";"Durée";"Coût Prév. >0 ";"Coût Prév. <0";"Coût Réel";
"247";"PORTE DAS BAT 2 R+2";"1";"";"";"";
"248";"STORES VENITIENS BAT 2 R+2";"15";"";"";"";
"249";"BLOC PORTE BAT 2 R+3";"4";"";"";"";
"250";"PORTE DAS BAT 2 R+3";"1";"";"";"";
"251";"BLOC PORTE BAT 2 R+3";"4";"";"";"";
"252";"PORTE DAS BAT 2 R+3";"1";"";"";"";
"253";"CLOISONS ALU BAT 1 R+2";"30";"";"";"";
"254";"CLOISONS MODULAIRES BAT 2 R+1";"4";"";"";"";
"255";"PORTE DAS BAT 3 RDC";"5";"";"";"";
"256";"CLOISONS ALU BAT 3 RDC";"3";"";"";"";
"257";"CLOISONS MODULAIRES BAT 3 RDC";"4";"";"";"";
"258";"SYSTEME FERMETURE DAS BAT 3 RDC";"3";"";"";"";
"259";"BLOC PORTE BAT 3 RDC";"4";"";"";"";
"260";"PORTE DAS BAT 3 RDC";"5";"";"";"";
"261";"DIVERS ACCESSOIRES BAT 3 RDC";"30";"";"";"";
"262";"BLOC PORTE BAT 3 R+1";"3";"";"";"";
"263";"PORTE DAS BAT 3 R+1";"3";"";"";"";
"264";"Tache numéro 264";"1";"";"";"";
"265";"IDEOGRAMME SIGNALETIQUE BAT 1 R+1";"1";"";"";"";
"266";"BANQUE D'ACCUEIL BAT 1 R+1";"5";"";"";"";
"267";"TABLETTE MEDIUM BAT 3 R+2";"1";"";"";"";
"268";"IDEOGRAMME SIGNALETIQUE BAT 3 R+2";"1";"";"";"";
"269";"BANQUE D'ACCUEIL BAT 3 R+2";"5";"";"";"";
"270";"BLOC PORTE BAT 3 R+2";"3";"";"";"";
"272";"TABLETTE MEDIUM BAT 3 R+2";"1";"";"";"";
"273";"IDEOGRAMME SIGNALETIQUE BAT 3 R+2";"1";"";"";"";
"274";"BLOC PORTE BAT 3 R+2";"3";"";"";"";
"275";"TABLETTE MEDIUM BAT 3 R+3";"1";"";"";"";
"276";"IDEOGRAMME SIGNALETIQUE BAT 3 R+3";"1";"";"";"";
"277";"Tache numéro 286";"2";"";"";"";
"278";"Tache numéro 287";"2";"";"";"";
"279";"Tache numéro 288";"4";"";"";"";
"280";"Tache numéro 289";"3";"";"";"";
"290";"RACCORDS CLOISONS BAT 1 R+3";"5";"";"";"";
"291";"RACCORDS CLOISONS BAT 1 R+2";"5";"";"";"";
"292";"RACCORDS CLOISONS BAT 1 R+1";"5";"";"";"";
"293";"Tache numéro 309";"5";"";"";"";
"294";"Tache numéro 315";"3";"";"";"";
"296";"RACCORDS DE CLOISONS BAT 2 RDC";"3";"";"";"";
"297";"RACCORDS PLATRE BAT 2 R+1";"1";"";"";"";
"298";"RACCORDS PLATRE BAT 2 RDC";"1";"";"";"";
"299";"RACCORDS CLOISONS BRIQUE BAT 1 RDC";"5";"";"";"";
"300";"AUVENT ARCHITECTURAL ACCUEIL";"5";"";"";"";
"301";"RACCORDS PLATRE BAT 1 R+3";"3";"";"";"";
"302";"RACCORDS PLATRE BAT 1 R+2";"3";"";"";"";
"303";"RACCORDS DE CLOISONS BAT 2 R+3";"3";"";"";"";
"304";"Tache numéro 303";"3";"";"";"";
"305";"RACCORDS PLATRE BAT 2 R+3";"5";"";"";"";
"306";"RACCORDS PLATRE BAT 2 R+2";"1";"";"";"";
"307";"DEMOLITION BAT 2 R+3";"1";"";"";"";
"308";"RACCORD PLATRE BAT 3 RDC";"1";"";"";"";
"309";"DEMOLITION BAT 2 R+3";"7";"";"";"";
"310";"DEMOLITION BAT 2 R+2 ";"7";"";"";"";
"311";"DEMOLITION BAT 2 R+1";"7";"";"";"";
"312";"DEMOLITION BAT 2 RDC";"7";"";"";"";
"313";"DEMOLITION BAT 2 R-1";"5";"";"";"";
"314";"REMPLACEMENT DESCENTE EP IMPRIMERIE";"1";"";"";"";
"315";"MODIFICATION OUVERTURE INTER. BAT 2 R+3";"10";"";"";"";
