"N° ";"Désignation";"Durée";"Crit 1";"Désign Crit 1";"Crit 2";"Désign Crit 2";"Crit 3";"Désign Crit 3";
"147";"DEMOLITION DE VETURE NORD BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"148";"BARDAGE ALU SUD BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"149";"BARDAGE ALU NORD BAT1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"150";"BARDAGE ALU SUD BAT 2 ";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"151";"BARDAGE ALU OUEST BAT 2";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"152";"BARDAGE ALU NORD BAT 2";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"153";"BARDAGE ALU EST BAT 2";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"154";"BARDAGE ALU NORD EST BAT ACCUEIL ET RETOURS LATERAUX";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"155";"BARDAGE PANNEAU SUD IMPRIMERIE";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"156";"BARDAGE PANNEAU NORD IMPRIMERIE";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"157";"BARDAGE PANNEAU SUD BAT 2";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"158";"BARDAGE PANNEAU EST BAT 2";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"159";"BARDAGE PANNEAU EST BAT 3";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"160";"BARDAGE PANNEAU OUEST BAT 3";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"161";"BARDAGE PANNEAU NORD BAT 3";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"162";"BARDAGE PANNEAU EST BAT ACCUEIL";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"163";"OUVRAGE SECURITE A DEMEURE BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"164";"OUVRAGE SECURITE A DEMEURE BAT 2";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"165";"OUVRAGE SECURITE A DEMEURE BAT 3";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"166";"MENUISERIE EXTER BAT 1 R+3";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"167";"MENUISERIE EXTER BAT 1 R+2";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"168";"MENUISERIE EXTER BAT 1 R+1";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"169";"MENUISERIE EXTER BAT 1 RDC";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"170";"MENUISERIE EXTER BAT 2 R+3";"15";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"171";"MENUISERIE EXTER BAT 2 R+2";"15";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"172";"MENUISERIE EXTER BAT 2 R+1";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"173";"MENUISERIE EXTER BAT 2 RDC";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"174";"MENUISERIE EXTER BAT 3 R+3";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"175";"MENUISERIE EXTER BAT 3 R+2";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"176";"MENUISERIE EXTER BAT 3 R+1";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"177";"MENUISERIE EXTER BAT 3 RDC";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"178";"MENUISERIE EXTER BAT ACCUEIL R+3";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"179";"MENUISERIE EXTER BAT ACCUEIL R+2";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"180";"MENUISERIE EXTER BAT ACCUEIL R+1";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"181";"MENUISERIE EXTER BAT ACCUEIL RDC";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"182";"AMENEE D'AIR DESENFUMAGE BAT 3 R+1";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"183";"ASSERVISSEMENT CHASSIS BAT 3 R+3";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"184";"AMENEE D'AIR DESENFUMAGE BAT 3 R+3";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
